salesgrwoth,ltassets,gdpgrowth,debtassets,roa,liquidity,lemployee
-0.02366,5.12879,7.3,0,0.159978,5.06257,2.47567
-0.095256,5.13987,6.9,0.023362657,0.075039,4.27661,2.58092
0.290327,5.16726,6.7,0.070015376,0.073101,3.3962,2.60638
0.08924,4.62705,7.86,0.524982888,0.019227,0.680601,1.53148
-0.104684,4.58616,7.76,0.328821119,0.004661,0.708135,1.38021
-0.874659,4.40441,7.3,0,0.016665,0.436925,1.36173
-0.746737,5.64053,6.9,0.012186193,-0.051216,1.20096,2.24304
16.765,5.58401,6.7,0.040269156,0.42903,1.34388,2.30963
-0.258092,4.99102,7.86,0,0.092167,12.5027,2.49554
0.29079,5.00619,7.76,0,0.078175,9.74382,2.49693
0.130925,5.01935,7.3,0,0.084085,10.0677,2.4624
0.081785,5.07386,6.9,0,0.121011,5.499,2.4609
0.202344,5.099,6.7,0,0.207902,6.97252,2.47129
-0.750492,5.01343,9.4,0.568396661,-3.60069,0.365888,2.32634
-0.872403,4.80667,10.64,0.228617805,0.518141,0.220213,2.12385
-0.930635,4.77528,9.54,0,-8.93516,0.318857,2.0607
22.9553,4.83074,7.86,0.131371449,0.030256,0.683011,1.47712
5.96493,4.97752,7.76,0,-0.051567,0.853217,1.5563
-0.904924,4.84125,7.3,0,-1.62576,0.522425,2.40824
1.48279,5.08663,6.9,0.000663527,0.041305,4.20363,2.57054
0.675411,5.30557,6.7,0.213351608,0.033542,1.50617,2.62118
0.306453,5.04269,14.23,0.398317759,0.028054,0.877451,1.86923
-0.143699,5.05278,9.65,0.253756985,0.005092,0.810214,1.72428
-0.077832,5.10467,9.4,0.329398914,-0.071002,0.824404,1.81954
0.053757,5.08281,10.64,0.499933888,0.018013,1.43187,1.69897
-0.101441,5.06704,9.54,0.440856621,0.08516,0.827712,1.80618
-0.433605,4.92881,7.86,0.521972196,-0.411886,0.711096,2.60097
-0.114205,4.87077,7.76,0.211063532,0.36074,4.31808,2.45025
-0.046473,5.02583,7.3,0.253015227,-0.183458,2.34223,2.11394
-0.127437,5.31521,6.9,0.239367777,0.199774,2.7349,1.77085
-0.801947,5.30109,6.7,0.291027166,1.05978,1.07877,1.83885
-0.540367,4.71299,7.86,0.092292796,-0.092435,3.84371,1.95424
0.914508,4.68073,7.76,0,0.041624,28.185,1.81954
-0.000325,4.66747,7.3,0,-0.134875,14.0939,1.80618
-0.530565,4.67029,6.9,0,0.044175,10.8938,1.75587
0.155017,4.63124,6.7,0,-0.132614,26.6505,1.68124
0.137407,4.82961,7.86,0.011754604,0.232481,8.9279,2.34635
0.01796,4.93321,7.76,0.15574086,0.116339,3.0033,2.32634
0.518209,5.00302,7.3,0.158553298,0.0147,1.9035,2.38561
0.975765,5.16689,6.9,0.349451163,-0.14448,1.04014,2.66932
0.452016,5.11746,6.7,0.372433369,-0.372237,0.802618,2.42813
0.16918,5.17465,7.86,0.271263645,0.387412,13.2888,2.34044
